,image_name,Good,Usable,Reject
0,0_left.jpg,0.024664104,0.038927075,0.95439696
1,0_right.jpg,0.029969618,0.19793846,0.7823735
2,1_left.jpg,0.9875437,0.010008004,0.00826576
3,1_right.jpg,0.98751664,0.0100212125,0.008292924
4,2_left.jpg,0.024646375,0.039129578,0.9541987
5,2_right.jpg,0.057340503,0.89043987,0.08332536
6,3_left.jpg,0.9875794,0.009975293,0.008265069
7,3_right.jpg,0.96312666,0.027668739,0.011615797
8,4_left.jpg,0.023348182,0.07210443,0.927773
9,4_right.jpg,0.29653317,0.42835167,0.15949279
10,5_left.jpg,0.56619227,0.45154968,0.018308029
11,5_right.jpg,0.9815956,0.015837645,0.007637843
12,6_left.jpg,0.2589875,0.7164605,0.022308806
13,6_right.jpg,0.9302345,0.054517668,0.009651175
14,7_left.jpg,0.9875909,0.009964764,0.008266589
15,7_right.jpg,0.9875909,0.009965017,0.008266456
16,8_left.jpg,0.98759127,0.009964849,0.008266393
17,8_right.jpg,0.9875908,0.009964651,0.008266694
18,9_left.jpg,0.98759127,0.0099648535,0.008266386
19,9_right.jpg,0.98740035,0.010157646,0.008188824
20,10_left.jpg,0.98758674,0.009967803,0.008267547
21,10_right.jpg,0.987587,0.009968914,0.008265217
22,11_left.jpg,0.4016438,0.38750187,0.05672497
23,11_right.jpg,0.138576,0.6358067,0.1658169
24,12_left.jpg,0.98759115,0.009964872,0.008266397
25,12_right.jpg,0.98759127,0.009964849,0.008266389
26,13_left.jpg,0.057484303,0.6328541,0.33328292
27,13_right.jpg,0.054742742,0.4206562,0.54445606
28,14_left.jpg,0.05070727,0.9381133,0.05292634
29,14_right.jpg,0.74609977,0.013062962,0.14190532
30,15_left.jpg,0.055716537,0.93652564,0.046831228
31,15_right.jpg,0.95200336,0.04074998,0.011766964
32,16_left.jpg,0.9875442,0.009998134,0.008274814
33,16_right.jpg,0.9810384,0.011043617,0.0117834825
34,17_left.jpg,0.028527921,0.5709358,0.48890114
35,17_right.jpg,0.05776585,0.8776852,0.091405325
36,18_left.jpg,0.72150236,0.05744582,0.1469472
37,18_right.jpg,0.080472775,0.6518001,0.17158228
38,19_left.jpg,0.98722535,0.0102002695,0.0083381515
39,19_right.jpg,0.9875903,0.00996459,0.008266976
40,20_left.jpg,0.98752,0.010010035,0.008294238
41,20_right.jpg,0.98759127,0.009964849,0.008266386
42,21_left.jpg,0.9875565,0.0099978605,0.008261266
43,21_right.jpg,0.95757556,0.043605976,0.0056939297
44,22_left.jpg,0.7643716,0.14749725,0.025407147
45,22_right.jpg,0.10679587,0.099610746,0.675496
46,23_left.jpg,0.047521893,0.87687516,0.090449415
47,23_right.jpg,0.88844913,0.08297813,0.01882861
48,24_left.jpg,0.024731187,0.039612718,0.95322967
49,24_right.jpg,0.024682095,0.038905475,0.9543675
50,25_left.jpg,0.72355974,0.15375213,0.06817852
51,25_right.jpg,0.97912014,0.01713437,0.009387379
52,26_left.jpg,0.22553208,0.7489405,0.02514234
53,26_right.jpg,0.6604036,0.26281297,0.023836859
54,27_left.jpg,0.30362335,0.16016117,0.29064366
55,27_right.jpg,0.9625562,0.025643239,0.012472814
56,28_left.jpg,0.30106145,0.16788049,0.36493444
57,28_right.jpg,0.4622013,0.06981471,0.35358617
58,29_left.jpg,0.029255655,0.7227315,0.2597685
59,29_right.jpg,0.024687147,0.041883014,0.9519556
60,30_left.jpg,0.77287114,0.069243856,0.08345314
61,30_right.jpg,0.06694494,0.8996263,0.060832154
62,31_left.jpg,0.055450644,0.60375166,0.23909189
63,31_right.jpg,0.45433182,0.1965785,0.13329911
64,32_left.jpg,0.9056084,0.024874492,0.06917583
65,32_right.jpg,0.966324,0.015399357,0.021532195
66,33_left.jpg,0.044934537,0.94254375,0.05500524
67,33_right.jpg,0.90232354,0.02830056,0.061336447
68,34_left.jpg,0.98666126,0.010734185,0.008410492
69,34_right.jpg,0.024882888,0.03871242,0.9540702
70,35_left.jpg,0.05639215,0.86773556,0.08607006
71,35_right.jpg,0.05715159,0.83414847,0.1184161
72,36_left.jpg,0.045200966,0.94757193,0.050415758
73,36_right.jpg,0.039534725,0.9375985,0.06630151
74,37_left.jpg,0.9425813,0.035830237,0.017911967
75,37_right.jpg,0.98757535,0.009977402,0.0082654515
76,38_left.jpg,0.2265431,0.39000484,0.15577412
77,38_right.jpg,0.9394912,0.041542396,0.015951335
78,39_left.jpg,0.02743344,0.03647021,0.95080596
79,39_right.jpg,0.6333063,0.034654625,0.20340024
80,40_left.jpg,0.9875892,0.009966806,0.00826619
81,40_right.jpg,0.98757833,0.009975307,0.008268673
82,41_left.jpg,0.2706897,0.57792014,0.058909755
83,41_right.jpg,0.066775605,0.9126935,0.046333708
84,42_left.jpg,0.02468941,0.038907927,0.9543387
85,42_right.jpg,0.024727732,0.040438876,0.9527286
86,43_left.jpg,0.05413588,0.9321778,0.05204135
87,43_right.jpg,0.14190233,0.8450814,0.029648526
88,44_left.jpg,0.39777106,0.56715363,0.043327734
89,44_right.jpg,0.9875902,0.009964294,0.008267085
90,45_left.jpg,0.7424146,0.21254933,0.027983347
91,45_right.jpg,0.98734456,0.010099836,0.00840656
92,46_left.jpg,0.09554267,0.5985664,0.2034119
93,46_right.jpg,0.24634579,0.70714235,0.031231977
94,47_left.jpg,0.023799585,0.094519235,0.9056808
95,47_right.jpg,0.03178987,0.21663515,0.77650124
96,48_left.jpg,0.2033087,0.75170726,0.037296724
97,48_right.jpg,0.3560629,0.6109522,0.021193326
98,49_left.jpg,0.04653967,0.942875,0.052252743
99,49_right.jpg,0.06740155,0.9130292,0.05061024
100,50_left.jpg,0.13995548,0.8427305,0.03391277
